#Distances    VirialMass
45.0888678393  1.23089e+13
54.5436476536  7.93235e+12
47.1656491285  7.65332e+12
50.1412228659  4.82461e+12
47.6879673879  4.45399e+12
46.1958462465  2.32578e+12
52.9348354465  2.17122e+12
55.0185032909  2.03539e+12
51.2371936184  1.59617e+12
51.2546889466  1.14401e+12
45.4724966403  968383000000.0
51.3546579788  959134000000.0
53.3971523105  917681000000.0
48.0053015881  764153000000.0
47.077799336  673353000000.0
51.534027064  573303000000.0
52.8460277659  532650000000.0
46.7199543923  527670000000.0
46.5544863937  465469000000.0
49.6463842345  440396000000.0
52.8231096453  408231000000.0
48.9176835025  385211000000.0
47.4625364102  363659000000.0
50.0395602617  342218000000.0
51.9731544652  278174000000.0
48.3277892492  277805000000.0
54.1482513467  269432000000.0
52.9430275997  268173000000.0
46.6843987424  252269000000.0
47.0285757343  244489000000.0
51.0946953023  234141000000.0
47.0310947992  224395000000.0
45.8591618059  224327000000.0
46.955069062  217116000000.0
54.9613783139  207198000000.0
53.7741425254  199709000000.0
48.2700813647  184906000000.0
46.9980739481  183852000000.0
54.492672809  182066000000.0
46.8058352553  175697000000.0
48.2595095717  247259000000.0
48.9918957184  171415000000.0
47.7343024922  170801000000.0
46.1930572883  170096000000.0
46.6733743442  166708000000.0
51.7299588828  150697000000.0
54.6665535601  150480000000.0
50.2428949549  149844000000.0
46.4495618075  143674000000.0
54.7368793125  142395000000.0
46.7136872676  142027000000.0
49.6758348736  139905000000.0
46.4979140595  136471000000.0
54.4273552194  132059000000.0
45.5801159034  136218000000.0
54.1259053584  129481000000.0
53.6798964927  128134000000.0
54.869501935  122788000000.0
49.4217619315  121744000000.0
52.8236964426  115512000000.0
50.4126737137  115294000000.0
46.2367998053  111613000000.0
51.8261934496  5.54953e+13
51.934622129  107090000000.0
55.0921514537  106201000000.0
47.0321731138  103994000000.0
48.1994030075  102696000000.0
50.7887938839  101553000000.0
50.8506001395  101120000000.0
46.8237673384  98837300000.0
53.3531205793  96441100000.0
54.690236084  96058200000.0
45.5367190212  95573800000.0
47.1292335742  239680000000.0
46.262193584  94635600000.0
55.3626679009  94125200000.0
55.6510435773  153469000000.0
45.5726844117  94016500000.0
47.9854291786  93527300000.0
46.3272078495  90958500000.0
54.2782864384  90625300000.0
48.9511606906  89304300000.0
53.1130271938  88782000000.0
46.370331324  88380300000.0
49.3203794017  87621700000.0
55.4193392851  85563400000.0
46.4960808854  85419200000.0
50.3187454198  83892600000.0
56.1791602155  115240000000.0
50.7144462739  80957600000.0
51.5225374421  80092700000.0
53.977151152  79941400000.0
49.3691943942  78870900000.0
52.5401814608  77228500000.0
49.2557550159  3.95132e+13
47.1419193109  75245800000.0
55.5373899402  75056700000.0
48.0944128058  779913000000.0
46.5161059915  74333600000.0
